Date,Time (UTC),Exchange,Symbol,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
,,,,,,,,,,,"NOTE","Hey, if you're at this stage of the video, you must be enjoying it... perhaps you could hit subscribe now? :)"
2026-05-31,10:30:06,Delta Exchange India,RIVERUSD,,,6.88,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,10:36:34,Delta Exchange India,RIVERUSD,,,6.87,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,10:44:57,Delta Exchange India,RIVERUSD,,,6.86,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,10:48:54,Delta Exchange India,RIVERUSD,,,6.85,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,13:20:27,Delta Exchange India,ADAUSD,,,0.24,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,13:35:46,Delta Exchange India,ADAUSD,,,0.24,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,13:50:27,Delta Exchange India,ADAUSD,,,0.24,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,14:05:27,Delta Exchange India,ADAUSD,,,0.24,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,14:20:27,Delta Exchange India,ADAUSD,,,0.23,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,14:35:27,Delta Exchange India,ADAUSD,,,0.23,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,15:16:09,Delta Exchange India,ADAUSD,,,0.23,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,15:21:08,Delta Exchange India,ADAUSD,,,0.23,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,15:26:10,Delta Exchange India,ADAUSD,,,0.23,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
2026-05-31,15:33:46,Delta Exchange India,ADAUSD,,,0.23,,,,BLOCKED,BLOCKED,N/A,"Failed conditions"
